City,Lat,Lon
chennai,13.0827,80.2707
coimbatore,11.0168,76.9558
madurai,9.9252,78.1198
salem,11.6643,78.1460
tiruchirappalli,10.7905,78.7047
tirunelveli,8.7139,77.7567
erode,11.3410,77.7172
vellore,12.9165,79.1325
thoothukudi,8.7642,78.1348
thanjavur,10.7870,79.1378
dindigul,10.3624,77.9695
karur,10.9601,78.0766
namakkal,11.2189,78.1674
krishnagiri,12.5186,78.2137
cuddalore,11.7480,79.7714
nagapattinam,10.7672,79.8449
kanyakumari,8.0883,77.5385
ramanathapuram,9.3639,78.8395
sivagangai,10.0268,78.4819
virudhunagar,9.5851,77.9527
dharmapuri,12.1211,78.1582
perambalur,11.2320,78.8800
ariyalur,11.1400,79.0800
pudukkottai,10.3833,78.8001
tiruvallur,13.1431,79.9087
kancheepuram,12.8342,79.7036
villupuram,11.9401,79.4861
tiruvannamalai,12.2253,79.0747
tenkasi,8.9604,77.3152
nilgiris,11.4102,76.6950
mayiladuthurai,11.1018,79.6491
chengalpattu,12.6819,79.9888
ranipet,12.9321,79.3325
tirupattur,12.4970,78.5730
kallakurichi,11.7383,78.9608
thiruvarur,10.7713,79.6370
hosur,12.7409,77.8253
